Time (s)	Channel 1 (V)	DIO  0	DIO  1	DIO  2	DIO  3
-8.67e-06	2.761579326329533	0	1	1	0
-8.66e-06	2.761579326329533	0	1	1	0
-8.65e-06	2.761579326329533	0	1	1	0
-8.64e-06	2.761579326329533	0	1	1	0
-8.63e-06	2.761579326329533	0	1	1	0
-8.62e-06	2.761579326329533	0	1	1	0
-8.610000000000001e-06	2.761579326329533	0	1	1	0
-8.600000000000001e-06	2.761579326329533	0	1	1	0
-8.590000000000001e-06	2.761579326329533	0	1	1	0
-8.579999999999999e-06	2.761579326329533	0	1	1	0
-8.569999999999999e-06	2.761579326329533	0	1	1	0
-8.559999999999999e-06	2.761579326329533	0	1	1	0
-8.549999999999999e-06	2.761579326329533	0	1	1	0
-8.54e-06	2.761579326329533	0	1	1	0
-8.53e-06	2.761579326329533	0	1	1	0
-8.52e-06	2.761579326329533	0	1	1	0
-8.51e-06	2.761579326329533	0	1	1	0
-8.5e-06	2.761579326329533	0	1	1	0
-8.49e-06	2.761579326329533	0	1	1	0
-8.48e-06	2.761579326329533	0	1	1	0
-8.47e-06	2.761579326329533	0	1	1	0
-8.46e-06	2.761579326329533	0	1	1	0
-8.45e-06	2.761579326329533	0	1	1	0
-8.440000000000001e-06	2.761579326329533	0	1	1	0
-8.430000000000001e-06	2.761579326329533	0	1	1	0
-8.420000000000001e-06	2.761579326329533	0	1	1	0
-8.410000000000001e-06	2.761579326329533	0	1	1	0
-8.399999999999999e-06	2.761579326329533	0	1	1	0
-8.389999999999999e-06	2.761579326329533	0	1	1	0
-8.379999999999999e-06	2.761579326329533	0	1	1	0
-8.369999999999999e-06	2.761579326329533	0	1	1	0
-8.36e-06	2.761579326329533	0	1	1	0
-8.35e-06	2.761579326329533	0	1	1	0
-8.34e-06	2.761579326329533	0	1	1	0
-8.33e-06	2.761579326329533	0	1	1	0
-8.32e-06	2.761579326329533	0	1	1	0
-8.31e-06	2.761579326329533	0	1	1	0
-8.3e-06	2.761579326329533	0	1	1	0
-8.29e-06	2.761579326329533	0	1	1	0
-8.28e-06	2.761579326329533	0	1	1	0
-8.27e-06	2.761579326329533	0	1	1	0
-8.260000000000001e-06	2.761579326329533	0	1	1	0
-8.250000000000001e-06	2.761579326329533	0	1	1	0
-8.240000000000001e-06	2.761579326329533	0	1	1	0
-8.230000000000001e-06	2.761579326329533	0	1	1	0
-8.219999999999999e-06	2.761579326329533	0	1	1	0
-8.209999999999999e-06	2.761579326329533	0	1	1	0
-8.199999999999999e-06	2.761579326329533	0	1	1	0
-8.19e-06	2.761579326329533	0	1	1	0
-8.18e-06	2.761579326329533	0	1	1	0
-8.17e-06	2.761579326329533	0	1	1	0
-8.16e-06	2.761579326329533	0	1	1	0
-8.15e-06	2.761579326329533	0	1	1	0
-8.14e-06	2.761579326329533	0	1	1	0
-8.13e-06	2.761579326329533	0	1	1	0
-8.12e-06	2.761579326329533	0	1	1	0
-8.11e-06	2.761579326329533	0	1	1	0
-8.1e-06	2.761579326329533	0	1	1	0
-8.09e-06	2.761579326329533	0	1	1	0
-8.080000000000001e-06	2.761579326329533	0	1	1	0
-8.070000000000001e-06	2.761579326329533	0	1	1	0
-8.060000000000001e-06	2.761579326329533	0	1	1	0
-8.049999999999999e-06	2.761579326329533	0	1	1	0
-8.039999999999999e-06	2.761579326329533	0	1	1	0
-8.029999999999999e-06	2.761579326329533	0	1	1	0
-8.019999999999999e-06	2.761579326329533	0	1	1	0
-8.01e-06	2.761579326329533	0	1	1	0
-8e-06	2.761579326329533	0	1	1	0
-7.99e-06	2.761579326329533	0	1	1	0
-7.98e-06	2.761579326329533	0	1	1	0
-7.97e-06	2.761579326329533	0	1	1	0
-7.96e-06	2.761579326329533	0	1	1	0
-7.95e-06	2.761579326329533	0	1	1	0
-7.94e-06	2.761579326329533	0	1	1	0
-7.93e-06	2.761579326329533	0	1	1	0
-7.92e-06	2.761579326329533	0	1	1	0
-7.91e-06	2.761579326329533	0	1	1	0
-7.900000000000001e-06	2.761579326329533	0	1	1	0
-7.890000000000001e-06	2.761579326329533	0	1	1	0
-7.880000000000001e-06	2.761579326329533	0	1	1	0
-7.869999999999999e-06	2.761579326329533	0	1	1	0
-7.859999999999999e-06	2.761579326329533	0	1	1	0
-7.849999999999999e-06	2.761579326329533	0	1	1	0
-7.839999999999999e-06	2.761579326329533	0	1	1	0
-7.83e-06	2.761579326329533	0	1	1	0
-7.82e-06	2.761579326329533	0	1	1	0
-7.81e-06	2.761579326329533	0	1	1	0
-7.8e-06	2.761579326329533	0	1	1	0
-7.79e-06	2.761579326329533	0	1	1	0
-7.78e-06	2.761579326329533	0	1	1	0
-7.77e-06	2.761579326329533	0	1	1	0
-7.76e-06	2.761579326329533	0	1	1	0
-7.75e-06	2.761579326329533	0	1	1	0
-7.74e-06	2.761579326329533	0	1	0	0
-7.730000000000001e-06	2.761579326329533	0	1	0	0
-7.720000000000001e-06	2.761579326329533	0	1	0	0
-7.710000000000001e-06	2.761579326329533	0	1	0	0
-7.700000000000001e-06	2.761579326329533	0	1	0	0
-7.689999999999999e-06	2.761579326329533	0	1	0	0
